,arabic,english
0,متى أنشئت هذه الجامعة؟,When was this university founded?
1,أراها نادراً,I see it rarely.
2,يعزف على البيانو بشكل جيد جداً,He plays the piano very well.
3,مع كل احترامي.,With all due respect.
4,نظف أسنانك,Brush your teeth clean.
5,أتمنى لك نومًا هادئًا يا تِمِي.‏‏,"Sleep well, Timmy."
6,أتمنى لك نومًا هادئًا يا تِمِي.‏‏,"Good night, Timmy!"
7,ما اسمُك؟,What's your name?
8,لو سمحت، أضعت طريقي.‏‏,"Excuse me, I'm lost."
9,عفوًا.,You're welcome.
10,عيد ميلاد سعيد!‏‏,Happy birthday to you!
11,يتكلم بسرعة.,He is a fast speaker.
12,إنه وسيم.,He is very handsome.
13,إنه وسيم و ذكي.,He is handsome and clever.
14,إنه وسيم جدا.,He is tremendously handsome.
15,إنه وسيم جدا.,He is very handsome.
16,هذه القلعة جميلة.,That castle is beautiful.
17,هذه القلعة جميلة.,The castle is beautiful.
18,هذه القلعة جميلة.,This castle is beautiful.
19,إيطاليا بلد جميل جدا.,Italy is a very beautiful country.
20,طقس اليوم جميل.,It's fine today.
21,تعال إلى منزلي.,Come to my house.
22,منزلي كبير.,My house is big.
23,أنظر إلى هذا المنزل.,Look at that house.
24,منزلك رائع.,Your house is fantastic.
25,مرحباً بك في المنزل.,Welcome home.
26,إني في المنزل.,I am at home.
27,إني في المنزل.,I'm at home.
28,لا أحب المدرسة.,I don't like school.
29,أنا طالب في هذه المدرسة.,I am a student of this school.
30,هذه مدرستنا.,That is our school.
31,تستطيع معالجة السرطان اذا أكتشف في المراحل الأولى.,Cancer can be cured easily if it is found in its first phase.
32,مرض السرطان هو عدو البشريه الأكبر,Cancer is a great enemy of humanity.
33,هل تتكلم اللغة الإنجليزية؟,Do you speak English?
34,أنا لا أتكلم اللغة اليابانية.‏‏,I don't speak Japanese.
35,لا تقلق.,At ease.
36,لا تقلق.,Don't worry.
37,لا تقلق.,Don't worry!
38,لا أعرف‏.‏‏,I have no idea.
39,لا أعرف‏.‏‏,I don't know.
40,الدوق يمتلك الكثير من الأراضي.,The duke holds a lot of land.
41,الشهر القمري أقصر من الشهر الشمسي.,A lunar month is shorter than a calendar month.
42,اليوم أقمارنا الصناعية تدور حول الأرض.,Today our artificial satellites are revolving around the earth.
43,فكرة جيدة أن نلعب الشوقي بعد الغداء.,It is a good idea for us to play shogi after dinner.
44,استيقظت في السابعة هذا الصباح.,I got up at seven this morning.
45,تركوا المشكلة بدون حل.,They left the problem unsolved.
46,هل تريد أن تنصحني بشيء ما ؟,Do you have any advice for me?
47,تعتمد اليابان على نفط البلدان العربية.,Japan relies on Arab countries for oil.
48,ما هذا؟,What's this?
49,من رسم هذه اللوحة؟,Who painted this painting?
50,هذا بيتي وهذه أرضي!,This house and this land are mine.
51,أحببت هذا الفيلم.,I liked this film.
52,من كتب هذا الكتاب؟,Who wrote this book?
53,من وضع هذه الخطة؟,Who made this plan?
54,هذا ليس عدلاً.,This isn't fair.
55,هذا ليس عدلاً.,That's not fair.
56,هذا ليس عدلاً.,That isn't fair.
57,اشتريته بالأمس.,I bought this yesterday.
58,هذا لك.,This is for you.
59,هذا كتاب.,This is a book.
60,هذا كتابها.,This is her book.
61,قابلنا كاتباً.,We met a writer.
62,الطريق طويل.,The road is long.
63,العالم قرية صغيرة.,It's a small world.
64,العالم قرية صغيرة.,The world is a small village.
65,الكرز أحمر.,Cherries are red.
66,المنافسة قوية.,The competition is fierce.
67,نحن عرب.,We are Arabs.
68,هو ذكي.,He is smart.
69,إنه ذكي.,He is smart.
70,أنت صديقي.,You are my friend.
71,هذا دفتري.,This is my notebook.
72,عيادة الطبيب في الدور الثاني.,The doctor's office is on the second floor.
73,إنه جدير بأن يكون قائد فريقنا.,He is worthy to be captain of our team.
74,إنه يعرفنا جيداً.,He knows us very well.
75,أحبه أكثر من بقية الأولاد.,I love him more than any of the other boys.
76,لم ينجُ أحد من تحطم الطائرة.,No one survived the plane crash.
77,هذا غير صحيح.,This is not true.
78,ما أجمل هذه الزهرة!,How beautiful this flower is!
79,تتكاثر الفئران بسرعة.,Rats breed rapidly.
80,هذا الحلم سَيَتَحَقَّق.,This dream will come true.
81,هذه قصة حقيقية.,This story is true.
82,لكن هذا ليس صحيحاً.,But this is not true.
83,زوجتي طبيبة.,My wife is a doctor.
84,الموسيقى لغة عالمية.,Music is a universal language.
85,الحمد لله.,Thank God.
86,سرق الرجل حقيبة يدي.,The man robbed me of my purse.
